Postnumber;Date;Allgemein;Vorspeisen;Hauptspeisen;Frühstück;Beilagen;Süßes;Getränke;Frühling;Sommer;Herbst;Winter;on  Tour;Nachspeisen;Pasta  und  Risotto;Suppen;aus  der  Backstube;Kleinigkeiten;kleine  Geschenke;Wie  macht  man  eigentlich...?;Fit  &  Healthy  Friday; "Stiftung  Chaosküchen-Test ";Blogs  that  rock;aus  dem  Eisfach;Selfmade  Sunday;Eat  like  a  Swabian;Books  that  rock
post-13081;26/03/2017;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;false;false;true;false;false;false;false;true;false;false
post-12974;23/03/2017;true;false;true;false;false;false;false;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13053;21/03/2017;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13047;19/03/2017;true;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;true;true;true;false;false;false;false;true;false;false
post-12996;16/03/2017;true;false;true;false;false;false;false;true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12968;14/03/2017;true;true;false;false;true;false;false;false;true;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false
post-12963;12/03/2017;true;false;true;false;false;false;false;true;false;true;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false
post-12948;28/02/2017;true;false;true;false;false;false;false;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12932;05/02/2017;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12922;22/01/2017;true;false;false;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12905;16/01/2017;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12915;13/01/2017;true;false;false;false;false;true;false;false;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12908;10/01/2017;true;false;true;false;false;false;false;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12894;28/12/2016;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12875;02/12/2016;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12866;01/12/2016;true;false;true;false;false;false;false;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12857;27/11/2016;true;false;false;false;false;true;false;false;false;true;true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12851;26/11/2016;true;false;true;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12839;23/11/2016;true;true;false;false;false;false;false;false;false;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12826;16/11/2016;true;false;true;false;true;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12816;08/11/2016;true;true;true;false;false;false;false;false;false;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
post-12740;03/11/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12695;31/10/2016;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12735;27/10/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12727;21/10/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12721;17/10/2016;true;false;true;false;false;false;false;false;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12702;07/10/2016;true;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12688;29/09/2016;true;false;true;false;false;false;false;false;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12672;16/09/2016;true;false;false;true;false;false;false;false;false;true;true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;true
post-12664;13/09/2016;true;false;false;false;false;false;true;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12657;07/09/2016;true;true;true;false;false;false;false;false;false;true;true;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false
post-12652;06/09/2016;true;false;true;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12637;31/08/2016;true;false;false;false;false;false;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12644;30/08/2016;true;false;false;false;false;false;true;false;true;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false
post-12620;23/08/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12628;22/08/2016;true;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12611;13/08/2016;true;false;false;false;true;false;false;false;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12570;05/08/2016;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12561;02/08/2016;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12555;29/07/2016;true;false;false;false;false;true;false;false;true;false;false;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12530;19/07/2016;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false
post-12526;12/07/2016;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
